url,name,reais,cents
https://produto.mercadolivre.com.br/MLB-2644286082-spray-defesa-pessoal-jato-direcionado-50g-poly-defensor-ntk-_JM#position=23&search_layout=stack&type=item&tracking_id=86c01c1d-d069-469e-90a2-902eb07cd9d1,Spray Defesa Pessoal Jato Direcionado 50g Poly Defensor Ntk,111,80
https://produto.mercadolivre.com.br/MLB-1031058792-spray-de-defesa-pessoal-jato-direcionado-50g-poly-defensor-_JM#position=24&search_layout=stack&type=item&tracking_id=86c01c1d-d069-469e-90a2-902eb07cd9d1,Spray De Defesa Pessoal Jato Direcionado 50g Poly Defensor,119,95
https://produto.mercadolivre.com.br/MLB-2115083719-kit-02-spray-chaveiro-imobilizador-bolso-20ml-defesa-mulher-_JM#position=25&search_layout=stack&type=item&tracking_id=86c01c1d-d069-469e-90a2-902eb07cd9d1,Kit 02 Spray Chaveiro Imobilizador Bolso 20ml Defesa Mulher ,108,80
https://produto.mercadolivre.com.br/MLB-1489750298-kit-02-unidades-pimenta-em-spray-110ml-defesa-legalizado-_JM#position=26&search_layout=stack&type=item&tracking_id=86c01c1d-d069-469e-90a2-902eb07cd9d1,Kit 02 Unidades Pimenta Em Spray  110ml Defesa - Legalizado,133,65
https://produto.mercadolivre.com.br/MLB-3338573945-spray-de-gengibre-defesa-pessoal-liberad-p-proteco-pessoal-_JM#position=27&search_layout=stack&type=item&tracking_id=86c01c1d-d069-469e-90a2-902eb07cd9d1,Spray De Gengibre Defesa Pessoal Liberad P/ Proteção Pessoal,94,32
https://produto.mercadolivre.com.br/MLB-3143231637-spray-de-pimenta-110ml-imobilizante-forte-kit-com-10-_JM#position=28&search_layout=stack&type=item&tracking_id=86c01c1d-d069-469e-90a2-902eb07cd9d1,Spray De Pimenta 110ml Imobilizante Forte Kit Com 10,398,00
https://produto.mercadolivre.com.br/MLB-3294040225-spray-defesa-pessoal-em-nevoa-poly-defensor-defende-ela-50g-_JM#position=29&search_layout=stack&type=item&tracking_id=86c01c1d-d069-469e-90a2-902eb07cd9d1,Spray Defesa Pessoal Em Névoa Poly Defensor Defende Ela 50g,135,90
https://produto.mercadolivre.com.br/MLB-1824576969-spray-de-gengibre-gas-defesa-pessoal-imobilizante-legalizado-_JM#position=30&search_layout=stack&type=item&tracking_id=86c01c1d-d069-469e-90a2-902eb07cd9d1,Spray De Gengibre Gás Defesa Pessoal Imobilizante Legalizado,113,90
https://produto.mercadolivre.com.br/MLB-3294017877-spray-defesa-pessoal-poly-defensor-50g-jato-em-nevoa-_JM#position=31&search_layout=stack&type=item&tracking_id=86c01c1d-d069-469e-90a2-902eb07cd9d1,Spray Defesa Pessoal Poly Defensor 50g Jato Em Névoa,135,90
https://produto.mercadolivre.com.br/MLB-3344449391-spray-defesa-pessoal-de-gengibre-para-autodefesa-feminina-_JM#position=32&search_layout=stack&type=item&tracking_id=86c01c1d-d069-469e-90a2-902eb07cd9d1,Spray Defesa Pessoal De Gengibre Para Autodefesa Feminina ,94,83
https://produto.mercadolivre.com.br/MLB-1668388227-01-unid-spray-defes-pessoal-110ml-forte-_JM#position=33&search_layout=stack&type=item&tracking_id=86c01c1d-d069-469e-90a2-902eb07cd9d1,01 Unid. Spray Defeså Pessoal 110ml Forte,65,00
https://produto.mercadolivre.com.br/MLB-1335441492-spray-de-defesa-110ml-uso-pessoal-ou-militar-promoco-_JM#position=34&search_layout=stack&type=item&tracking_id=86c01c1d-d069-469e-90a2-902eb07cd9d1,Spray De Defesa 110ml Uso Pessoal Ou Militar - Promoção!,64,35
https://produto.mercadolivre.com.br/MLB-3294086725-spray-defesa-pessoal-jato-direcionado-50g-poly-defensor-ntk-_JM#position=35&search_layout=stack&type=item&tracking_id=86c01c1d-d069-469e-90a2-902eb07cd9d1,Spray Defesa Pessoal Jato Direcionado 50g Poly Defensor Ntk,119,90
https://produto.mercadolivre.com.br/MLB-1887736279-spray-de-pimenta-extra-forte-de-bolso-60ml-1-un-proteco-_JM#position=36&search_layout=stack&type=item&tracking_id=86c01c1d-d069-469e-90a2-902eb07cd9d1,Spray De Pimenta Extra Forte De Bolso  60ml 1 Un Proteção ,58,41
https://produto.mercadolivre.com.br/MLB-1830804087-kit-10-sprays-defesa-pessoal-gas-gengibre-liberado-original-_JM#position=37&search_layout=stack&type=item&tracking_id=86c01c1d-d069-469e-90a2-902eb07cd9d1,Kit 10 Sprays Defesa Pessoal Gás Gengibre Liberado Original,640,00
https://produto.mercadolivre.com.br/MLB-3703735068-spray-de-defesa-pessoal-para-vigilantes-extra-forte-_JM#position=38&search_layout=stack&type=item&tracking_id=86c01c1d-d069-469e-90a2-902eb07cd9d1,Spray De Defesa Pessoal Para Vigilantes Extra Forte,94,65
https://produto.mercadolivre.com.br/MLB-3171404450-spray-pimenta-nato-black-super-forte-110ml-kit-com-10-_JM#position=39&search_layout=stack&type=item&tracking_id=86c01c1d-d069-469e-90a2-902eb07cd9d1,Spray Pimenta Nato Black Super Forte 110ml Kit Com 10,449,00
https://produto.mercadolivre.com.br/MLB-1012599444-spray-de-cs-lacrimogneo-nato-110ml-spray-de-pimenta-110ml-_JM#position=40&search_layout=stack&type=item&tracking_id=86c01c1d-d069-469e-90a2-902eb07cd9d1,Spray De Cs Lacrimogêneo Nato 110ml + Spray De Pimenta 110ml,139,00
